Category,Film Title,Speech,Winner,Year
 Sound, South Pacific,In behalf of the Todd-AO Sound Department I accept this with thanks.," Todd-AO Sound Department, Fred Hynes, Sound Director", 1958 (31st) Academy Awards
 Sound, Ben-Hur,"This is an award given to an entire sound department. And they all deserve it; they all worked on it. There's one man I want to thank especially, that's re-recording mixer William Steinkamp, for his very excellent work."," Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director", 1959 (32nd) Academy Awards
 Sound, The Alamo,The Samuel Goldwyn Sound Department wishes to thank the members of the Academy for this honor that they have bestowed upon us. Thank you.FRED HYNES:The Todd-AO Sound Department would also like to thank the Academy and all the members. And thanks again. Wonderful.," Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director", 1960 (33rd) Academy Awards
 Sound, West Side Story,"I want to thank all the members of the Academy and everyone who made this possible, especially Murray Spivack, Glenn Rominger and Joe Kane. Thank you very much.GORDON E. SAWYER:On behalf of the Samuel Goldwyn Sound Department, and especially Fred Lau and Vinton Vernon, I wish to thank the Academy. Thank you very much."," Todd-AO Sound Department, Fred Hynes, Sound Director; and Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director", 1961 (34th) Academy Awards
 Sound, Lawrence of Arabia,"On behalf of John Cox, Columbia Pictures, my friends David Lean and Sam Spiegel, I'm very proud and very pleased to accept this award."," Shepperton Studio Sound Department, John Cox, Sound Director", 1962 (35th) Academy Awards
 Sound, How the West Was Won,Thanks to you all from the Metro-Goldwyn-Mayer Sound Department.," Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director", 1963 (36th) Academy Awards
 Sound, My Fair Lady,"On behalf of Warner Bros. Sound Department I thank you very much. I'd like to pay special tribute to Mr. Francis Scheid who did the production recording and to Mr. Murray Spivack who did such a fine job of recording the ""Fair Lady"" music. Thank you very much."," Warner Bros. Studio Sound Department, George R. Groves, Sound Director", 1964 (37th) Academy Awards
 Sound, The Sound of Music,"I'd like to thank the Academy for this honor and also to thank Murray Spivack, Joe Kane and Jerry Alexander. Thank you.JAMES P. CORCORAN:I'd like to thank the Academy. I also wish to thank all those at 20th Century-Fox Sound Department who made this award possible."," 20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director", 1965 (38th) Academy Awards
 Sound, Grand Prix,I wish to thank the Academy on behalf of many people of our sound department whose technical talents and creative ability have made this possible. Thank you very much.," Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director", 1966 (39th) Academy Awards
 Sound, In the Heat of the Night,"I wish to thank the Academy members on behalf of the Samuel Goldwyn Sound Department. And I particularly would like to thank the boys that worked on this thing, especially Walter Goss, the production mixer, and Clem Portman, our re-recording mixer. Thank you very much.", Samuel Goldwyn Studio Sound Department, 1967 (40th) Academy Awards
 Sound, Oliver!,, Shepperton Studio Sound Department, 1968 (41st) Academy Awards
 Sound," Hello, Dolly!","I wish to thank the members of the Academy, Mr. Ernest Lehman, Mr. Gene Kelly. And especially the members of the 20th Century-Fox sound department who worked with me on ""Hello, Dolly!,"" namely Mr. James Corcoran, Douglas Williams, Vinton Vernon, Ted Soderberg, Edward Thirlwell and Jack Solomon. I'm very grateful.JACK SOLOMON:Thank everybody."," Jack Solomon, Murray Spivack", 1969 (42nd) Academy Awards
 Sound, Patton,"I thank you and I'm very grateful and humbled for this great honor. I want to thank everyone who had anything to do with the picture of ""Patton,"" and the management at Fox Studios for their confidence and faith in me. I wish to thank George C. Scott for a fine performance as General Patton. Our wonderful producer, Frank McCarthy. A very talented director, Franklin Schaffner. Our two sound directors, James Corcoran and John Bonner. And also my very talented associates on the picture, Murray Spivack and Ted Soderberg. And our inspired sound effects editors: Don Hall, Dick Jensen, Bill Hartman and Don Isaacs. Thank you again.DON BASSMAN:I would like to take a moment to thank two gentlemen that I took to Europe with me who performed so admirably and really are a part of this. I think they're the best in the business. My boom man Victor Goode, and my recorder Don Parker. A million thanks to Frank McCarthy and also to Franklin Schaffner; they were both just marvelous. Thank you very much."," Douglas Williams, Don Bassman", 1970 (43rd) Academy Awards
 Sound, Fiddler on the Roof,"Ladies and gentlemen, what can I say?  This is a most wonderful moment in my life.  Thank you all, members of the Academy, for voting for ""Fiddler.""  It's a film of which I shall always be proud.  I think it's a wonderful film.  It was great working with Johnny Williams and under Norman Jewison's wonderful, sympathetic direction.  I'm sorry that David Hildyard is not here to join me in this wonderful moment.  Thank you."," Gordon K. McCallum, David Hildyard", 1971 (44th) Academy Awards
 Sound, Cabaret,"I was very fortunate in working with some very talented sound engineers this year:  Richard Tyler and Art Piantadosi.  Without them it would've been very, very tough.  On behalf of them and Todd-AO and David Hildyard, who wasn't able to be here this evening, I'd like very much to thank the producers, the director Bob Fosse, for the time they allowed us to do this picture.  Time is something you don't get much of anymore.  Thanks to all of them.  Thanks to the Academy.  Thank you very much."," Robert Knudson, David Hildyard", 1972 (45th) Academy Awards
 Sound, The Exorcist,"Speaking for Todd-AO and all the fellows that worked with me – Bud Grenzbach, Bob Glass, Weldon Brown, Pat Sullivan – I'd like to on behalf of all these people thank the editors, Warner Bros. Pictures, and most of all Bill Friedkin, a man who made it all go together.  Thank you all very much.CHRIS NEWMAN:Thanks to Billy for getting us through the movie; to my crew, Pat Suraci and David Moshlak; and to all the people here and in New York who made this possible.  Thank you."," Robert Knudson, Chris Newman", 1973 (46th) Academy Awards
 Sound, Earthquake,"I want to thank all the people that worked on this: the producers, directors, the men that perfected Sensurround, especially Jack Bolger, Mel Metcalfe, Jr. and Ted Mack.  Uh, John Mack.  I'm rather nervous.  Thank you.MELVIN METCALFE, SR.:I think Ronny has said about as much as I can say except I would like to thank the crew that worked with me on production: Jack Danskin and Billy Morris.  And I want to thank the Academy."," Ronald Pierce, Melvin Metcalfe, Sr.", 1974 (47th) Academy Awards
 Sound, Jaws,"I can only echo Mr. Hoyt's sentiments.  It's a great honor and thank you very much.EARL MADERY:I'd like to thank the Sound Branch Executive Committee who promoted and the Academy Board who voted this Oscar, because it is extended to the sound effects mixer for the first time, this honor.  And I also would like to include the sound effects editors at Universal who provided my material and made my contribution possible.JOHN CARTER:I would like to thank John McDonald and Bill Griffith, and all the rest of them that contributed so much for it.  Thank you very much."," Robert L. Hoyt, Roger Heman, Earl Madery, John Carter", 1975 (48th) Academy Awards
 Sound, All the President's Men,"I have a long list of people to thank but I'll save it; give it to you later. For now, thank you, Walter Coblenz.  Thank you, Alan Pakula.  I thank you, Robert Redford.  And thank you.LES FRESHOLTZ:I can't say enough.  I can only say what Art has said before.  Thanks to everybody.  It's really a pleasure.DICK ALEXANDER:I'd like to thank Cathey Burrow, Richard Burrow and Dave Horton for their super sound effects job.  And I'd like to thank the Academy.  Thank you.JIM WEBB:I want to thank the Academy, my colleagues for the job they did, Alan Pakula and all the wonderful people at Wildwood.  Art Levinson, who started me on the project.  Robert Redford.  And last but not least, my sound partner Chris McLaughlin, with whom I truly share this award.  Thank you."," Arthur Piantadosi, Les Fresholtz, Dick Alexander, Jim Webb", 1976 (49th) Academy Awards
 Sound, Star Wars,"Ladies and gentlemen of the Academy, this is really an honor; and Buzzy [Robert Knudson] was right, your hands do get wet.  I'd certainly like to thank George and Gary for all they've done for us.  They gave us an opportunity.  I must also thank Bob Litt, a gentleman who helped us very much; Steve Katz, another one; all the wonderful mixers who aided us in the early stages of our work; and all of you.  Thank you very much.RAY WEST:I'm deeply grateful.  Thank you."," Don MacDougall, Ray West, Bob Minkler, Derek Ball", 1977 (50th) Academy Awards
 Sound, The Deer Hunter,"It's been a long time coming.  I have to thank Michael Cimino, who I love; a fine group of technicians at Metro-Goldwyn-Mayer Studios.  And just a wonderful business to be in; it's the honor of my life.  Thank you very much.WILLIAM McCAUGHEY:Pardon me.  A special thanks to Michael Cimino, James J. Klinger, Frank Reale and many, many fine technicians.  And to the Academy.  Thank you.AARON ROCHIN:I would also like to thank Michael Cimino for his creative suggestions and inspiration during the mix of ""The Deer Hunter.""  I'd like to thank the MGM sound and projection personnel for all their help.  And I'd like to thank all the members of the Academy for making my greatest aspiration a reality.  Thank you.DARIN KNIGHT:I'd also like to thank Michael Cimino and Don Bolger, and my wife for staying with me in the jungles of Thailand to shoot this picture.  And all the members of the Academy.  Thank you all very much."," Richard Portman, William McCaughey, Aaron Rochin, Darin Knight", 1978 (51st) Academy Awards
 Sound, Apocalypse Now,"Thank you very much.  The missing ingredient in the sound award is the contribution of the sound editor.  And in ""Apocalypse Now"" the contributions of dozens of editors and assistants was so massive that I'd like to thank them all collectively tonight and in particular single out Richie Cirincione, Les Hodgson, Pat Jackson and Les Wiggins.  I hope they all realize that this award belongs as much to them as it does to us who stand here on the stage.  Thank you.MARK BERGER:Those of us who put together all the work of the editors also had many assistants.  And I would like to specifically thank Tom Scott and Dale Strumpell and all the people at Zoetrope Studios.  And specifically for personal assistance, Susan Wengraf, my wife, for putting up with my absence for so long.  And thank you all for listening.RICHARD BEGGS:Thank you, Francis.  Thank you, Kathy.  And thank you, Shelley.  And thanks to my family."," Walter Murch, Mark Berger, Richard Beggs, Nat Boxer", 1979 (52nd) Academy Awards
 Sound, The Empire Strikes Back,"It takes the creative talents of a lot of people to create a soundtrack of the likes of ""The Empire Strikes Back.""  So Steve and Gregg and Peter and I must share these awards tonight with a long list of people, which we will have to skip a few, of course.  Particularly, producers George Lucas and Gary Kurtz, Irvin Kershner, the fabulous Ben Burtt who creates the terrific sound of ""The Empire.""  All of the people at the Samuel Goldwyn sound facility, particularly Don Rogers and John Bonner and Ernie and Dave.  Our special right- and left-hand man, Kevin O'Connell.  My dear Suzy* and Lisa, who somehow tolerate the insanity of all this.  Don Didge [Don Digirolamo] and the guys at the Dolby Labs.  And you, for so honoring us tonight.  Thank you.GREGG LANDAKER:I'd like to thank the Academy for this.  This is my first.  I'm very nervous. I would like to thank George Lucas, Gary Kurtz, Ben Burtt and the entire editorial staff that worked behind us.  The magic worked on the show.  And thank you.STEVE MASLOW:This is quite an honor.  Thank you very much.PETER SUTTON:Thank you very much."," Bill Varney, Steve Maslow, Gregg Landaker, Peter Sutton", 1980 (53rd) Academy Awards
 Sound, Raiders of the Lost Ark,"On this occasion last year I think I said that it takes the creative talents of a lot of people to create a soundtrack of this magnitude, and certainly the same is the case this year.  The team is almost the same.  And I think both Steve and Gregg will agree with me that we're the most fortunate sound mixers in the world to be surrounded with such talented sound people and sound engineers.  A particular acknowledgment tonight to our good friend Ben Burtt and Richard Anderson and their Special Achievement Award they received for this same motion picture.  Our thanks to all of the editorial staff, the engineers at the Samuel Goldwyn sound facility, especially our right- and left-hand man, Kevin O'Connell, again.  And to two of the best filmmakers in the world -- George Lucas, Steven Spielberg -- producers Frank Marshall and Howard Kazanjian, thank you for your trust and faith and letting us be part of this magnificent adventure.  Thank you.STEVE MASLOW:Thank you.GREGG LANDAKER:Thank you very much."," Bill Varney, Steve Maslow, Gregg Landaker, Roy Charman", 1981 (54th) Academy Awards
 Sound, E.T. The Extra-Terrestrial,"I was, Gene Cantamessa, the production mixer on ""E.T.""  And nothing is ever done alone, it's always a team effort.  I'd like to thank my guys, my team: Raul Bruce, my boom operator; Steve Payne, my third man; and my lady Dawn for having the faith.  And thank you very much.ROBERT KNUDSON:Just saying thank you seems a little inadequate tonight, but that's about all I have to offer tonight is thank you to Steven Spielberg for all his help and his patience, and the guidance to help get us all up here tonight.  Also to Kathy Kennedy, the producer, Carol Littleton, Chuck Campbell, who really made it all go together.  And Jenny and Mark Sullivan back in Columbia, South Carolina, who's waited up in hope to see their granddaddy tonight.  Time to go to bed, kids.  Thank you.DON DIGIROLAMO:Thank you.ROBERT GLASS:Thank you."," Robert Knudson, Robert Glass, Don Digirolamo, Gene Cantamessa", 1982 (55th) Academy Awards
